DateScan,Code,Scan_Name,NotesShake
2021_07_07,p237P0115,2021_07_07\TROE2021_0005.tif,
2021_07_07,p238P05--,2021_07_07\JBOTROE2021__0018.tif,
2021_07_07,p239P07--,2021_07_07\JBOTROE2021__0019.tif,shattered spikes
2021_07_07,p240P1821,2021_07_07\TROE2021_0006.tif,No sample (NA)
2021_07_07,p241P1324,2021_07_07\JBOTROE2021__0020.tif,
2021_07_07,p244P21--,2021_07_07\TROE2021_0008.tif,little sticky
2021_07_07,p245P13--,2021_07_07\JBOTROE2021__0021.tif,
2021_07_07,p246P07--,2021_07_07\TROE2021_0009.tif,
2021_07_07,p247P01--,2021_07_07\JBOTROE2021__0022.tif,
2021_07_07,p248P21--,2021_07_07\TROE2021_0010.tif,
2021_07_07,p249P0409,2021_07_07\TROE2021_0011.tif,
2021_07_07,p250P1105,2021_07_07\JBOTROE2021__0023.tif,
2021_07_07,p251P0522,2021_07_07\TROE2021_0012.tif,
2021_07_07,p253P1023,2021_07_07\JBOTROE2021__0024.tif,
2021_07_07,p254P0505,2021_07_07\TROE2021_0013.tif,Seeds lost husk during handthreshing
2021_07_07,p255P2004,2021_07_07\JBOTROE2021__0025.tif,
2021_07_07,p256P25--,2021_07_07\TROE2021_0014.tif,
2021_07_07,p257P1507,2021_07_07\TROE2021_0015.tif,
2021_07_07,p258P10--,2021_07_07\JBOTROE2021__0026.tif,
2021_07_07,p259P1016,2021_07_07\TROE2021_0016.tif,
2021_07_07,p260P0928,2021_07_07\JBOTROE2021__0027.tif,
2021_07_08,p261P2309,2021_07_08\JBOTROE2021__0001.tif,had some ergot
2021_07_08,p262P1414,2021_07_08\JBOTROE2021__0002.tif,May have been shaken twice
2021_07_08,p263P1705,2021_07_08\KTROE2021__0001.tif,
2021_07_08,p264P1506,2021_07_08\KTROE2021__0002.tif,
2021_07_08,p265P1413,2021_07_08\KTROE2021__0003.tif,
2021_07_08,p266P0511,2021_07_08\KTROE2021__0004.tif,
2021_07_08,p267P2210,2021_07_08\KTROE2021__0005.tif,
2021_07_08,p268P23--,2021_07_08\KTROE2021__0006.tif,
2021_07_08,p269P1411,2021_07_08\KTROE2021__0007.tif,
2021_07_08,p271P25--,2021_07_08\KTROE2021__0008.tif,
2021_07_08,p272P04--,2021_07_08\KTROE2021__0009.tif,
2021_07_08,p273P2501,2021_07_08\JBOTROE2021__0003.tif,
2021_07_08,p274P1318,2021_07_08\KTROE2021__0010.tif,
2021_07_08,p275P2214,2021_07_08\JBOTROE2021__0004.tif,
